tconst	averageRating	numVotes
tt0000001	5.6	1592
tt0000002	6.1	194
tt0000003	6.5	1261
tt0000004	6.2	120
tt0000005	6.1	2022
tt0000006	5.2	110
tt0000007	5.4	630
tt0000008	5.4	1735
tt0000009	5.4	89
tt0000010	6.9	5725
tt0000011	5.2	249
tt0000012	7.4	9773
tt0000013	5.7	1505
tt0000014	7.1	4264
tt0000015	6.1	774
tt0000016	5.9	1135
tt0000017	4.7	228
tt0000018	5.3	462
tt0000019	5.5	17
tt0000020	5.0	256
tt0000022	5.1	840
tt0000023	5.6	1077
tt0000024	4.8	37
tt0000025	4.3	26
tt0000026	5.6	1269
tt0000027	5.5	886
tt0000028	5.1	813
tt0000029	5.9	2730
tt0000030	5.3	660
tt0000031	5.5	788
tt0000032	5.1	328
tt0000033	5.6	820
tt0000034	5.4	118
tt0000035	5.6	52
tt0000036	4.5	473
tt0000037	4.6	39
tt0000038	4.1	142
tt0000039	3.9	13
tt0000040	4.1	35
tt0000041	6.6	1343
tt0000042	4.5	20
tt0000043	3.8	11
tt0000044	4.6	26
tt0000045	4.5	15
tt0000046	4.2	16
tt0000047	3.7	13
tt0000048	4.9	119
tt0000049	5.3	24
tt0000050	4.2	13
tt0000051	3.9	13
tt0000052	4.5	53
tt0000053	2.8	8
tt0000054	5.2	17
tt0000055	3.8	14
tt0000056	3.4	10
tt0000057	4.4	14
tt0000058	4.2	13
tt0000059	3.7	12
tt0000060	7.8	60
tt0000061	4.0	13
tt0000062	6.5	155
tt0000063	3.6	11
tt0000064	3.4	11
tt0000065	3.5	11
tt0000066	3.5	11
tt0000067	5.8	40
tt0000068	3.9	10
tt0000069	4.9	336
tt0000070	6.4	2160
tt0000071	3.7	13
tt0000072	4.2	13
tt0000073	3.9	10
tt0000074	4.2	14
tt0000075	6.3	1472
tt0000076	4.5	413
tt0000077	4.8	16
tt0000078	4.3	46
tt0000079	4.4	16
tt0000080	4.1	12
tt0000081	4.2	13
tt0000082	4.9	23
tt0000083	4.9	17
tt0000084	4.3	13
tt0000085	4.7	15
tt0000086	4.2	13
tt0000087	4.8	17
tt0000088	4.7	14
tt0000089	6.2	795
tt0000090	4.0	13
tt0000091	6.7	2617
tt0000092	4.6	11
tt0000093	5.0	63
tt0000094	4.2	12
tt0000095	4.8	18
tt0000096	4.5	10
tt0000097	4.9	16
tt0000098	5.5	18
tt0000099	4.7	13
tt0000100	4.9	30
tt0000101	4.6	11
tt0000102	4.7	11
tt0000103	5.8	13
tt0000104	5.5	372
tt0000105	5.5	12
tt0000106	4.6	9
tt0000107	5.6	11
tt0000108	4.4	426
tt0000109	4.6	420
tt0000110	4.4	425
tt0000111	4.6	433
tt0000112	4.6	422
tt0000113	4.4	438
tt0000114	5.5	13
tt0000115	5.2	15
tt0000116	5.6	12
tt0000117	5.1	110
tt0000118	5.5	13
tt0000119	5.8	24
